"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"475","Mathew Barzal","NYI","C","168","3306.6166666667","43","108","71","37","151","69.91","457","9.41","44.65","838","631","440","163","22","75","60","30","30","0","0","40","194","143","103","117","109","175","283","38.21"
"321","Oliver Bjorkstrand","SEA, T.B","R","242","3789.2166666667","61","89","51","38","150","68.49","538","11.34","58.81","1089","819","553","203","18","92","46","20","18","2","0","36","109","145","204","287","84","30","67","30.93"
"994","JJ Peterka","BUF","R","236","3795.1833333333","67","83","41","42","150","61.73","524","12.79","55.2","1047","774","512","193","41","64","88","35","33","0","2","56","133","83","75","245","43","10","26","27.78"
"455","Vince Dunn","SEA","D","202","4648.25","36","113","55","58","149","47.91","407","8.85","23.18","984","583","291","37","19","76","166","63","56","4","3","51","167","105","183","244","213","0","0","-"
"258","Teuvo Teravainen","CAR, CHI","C, L","226","3795.7166666667","52","96","59","37","148","63.79","397","13.10","39.59","739","575","361","118","23","67","38","19","19","0","0","11","165","99","58","127","70","159","187","45.95"
"404","Brandon Montour","FLA, SEA","D","227","5338.6833333333","42","105","42","63","147","43.62","641","6.55","41.92","1403","949","430","108","33","110","223","77","67","3","7","50","189","76","279","264","246","0","0","-"
"484","Zach Werenski","CBJ","D","164","4184.7166666667","37","110","55","55","147","55.89","541","6.84","33.46","1157","773","388","85","34","97","53","25","24","1","0","18","155","98","47","193","285","0","0","-"
"444","Frank Vatrano","ANA","R","244","4276.4","80","66","31","35","146","70.53","737","10.85","72.31","1223","977","608","259","30","118","231","98","93","1","4","78","115","65","410","227","214","32","46","41.03"
"672","Owen Tippett","PHI","R","232","3866.9833333333","75","70","44","26","145","64.44","708","10.59","63.48","1382","1012","641","230","57","110","44","21","21","0","0","43","108","109","388","295","176","45","48","48.39"
"8","Joe Pavelski","DAL","C","164","2831.6333333333","55","89","50","39","144","58.06","379","14.51","56.33","667","524","486","282","13","79","28","14","14","0","0","44","113","57","168","117","122","723","661","52.24"
"231","Phillip Danault","L.A","C","240","4322.1666666667","43","101","68","33","144","63.72","435","9.89","49.75","770","607","482","232","24","73","107","47","45","1","1","56","156","74","244","220","146","1927","1719","52.85"
"416","Devon Toews","COL","D","238","5798.4833333333","29","115","46","69","144","41.98","463","6.26","25.59","1002","649","292","59","23","76","70","33","33","0","0","36","166","137","207","142","337","0","0","-"
"518","Conor Garland","VAN","R","244","3927.3833333333","56","87","51","36","143","66.20","539","10.39","58.77","997","780","540","219","35","87","118","41","34","4","3","82","109","117","149","329","108","10","32","23.81"
"213","William Karlsson","VGK","C","205","3566.3166666667","53","89","53","36","142","69.27","455","11.65","56.58","833","656","479","235","23","72","36","14","13","0","1","42","118","100","113","282","126","1589","1232","56.33"
"268","Shayne Gostisbehere","ARI, CAR, DET","D","226","4403.8","30","112","45","67","142","53.38","416","7.21","25.94","971","638","287","39","16","91","100","42","40","0","2","54","164","89","115","159","221","0","0","-"
"420","Michael Bunting","CAR, NSH, PIT, TOR","L","239","3746.2","61","81","57","24","142","59.41","497","12.27","74.56","943","732","609","342","24","113","228","91","85","2","4","105","143","100","203","232","57","13","25","34.21"
"132","Anders Lee","NYI","L","245","4072.1666666667","77","64","31","33","141","58.02","633","12.16","106.64","1058","922","808","541","21","134","153","62","54","7","1","47","121","64","421","293","144","58","63","47.93"
"399","Ivan Barbashev","STL, VGK","C","234","3871.1666666667","58","83","55","28","141","59.24","359","16.16","51.98","685","537","516","263","18","67","94","39","35","4","0","59","155","95","466","279","118","104","160","39.39"
"799","Kirill Marchenko","CBJ","R","216","3703.5166666667","75","66","45","21","141","57.79","531","14.12","58.02","1046","747","566","191","24","91","50","24","24","0","0","44","131","116","144","254","112","48","88","35.29"
"963","Alexis Lafrenière","NYR","L","245","4043.1333333333","61","80","51","29","141","60.78","505","12.08","56.84","941","740","554","262","28","59","111","45","42","1","2","53","109","102","334","344","74","58","123","32.04"
"147","Charlie Coyle","BOS, COL","C","247","4284.45","58","82","44","38","140","66.99","401","14.46","51.16","718","575","467","257","44","69","92","46","46","0","0","62","132","154","307","182","179","1672","1593","51.21"
"243","Morgan Rielly","TOR","D","219","4874","18","122","66","56","140","43.48","425","4.24","23.16","905","614","293","58","24","79","69","26","22","3","1","19","225","67","189","392","351","0","0","-"
"329","Shea Theodore","VGK","D","169","3690.4333333333","20","120","62","58","140","58.82","369","5.42","19.97","888","524","246","29","12","69","50","23","23","0","0","18","151","83","31","198","238","0","0","-"
